Merged PR #	Skipped PR #	Tag	Comment
2454			
2445			
2289			
2430			
2452			
2431			
2446			
2462			
2275			
2397			bugfix for fee rate
2471			readme fixes
2198			add sendall coins to rpc
2463			refactor precond
2466			docker stuff
2473			new field in grpc
2439			watchtower precond
2448			watchtower proper
2479			
	1621		ignorada (already have lint)
2320			mais watchtower
2486			refactoring
	2402		ignorada (docs)
2494			make bugfix
2503			watchtower bugfix
	2499		ignorada (docs)
2504			release script
2314			mudanças no sistema de chainntfs
2247			bugfix grpc server
2460			new field (maxHtlc) in BOLT 7
2405			autopilot precond refactor
	2532		ignorada (deps)
2075			bugfix for listing invoices
2350			autopilot heuristics
2370			initial chanbackup work
2536			typo bugfix
2547			docs 
2543			typo bugfix
2538			precond bugfix
2505			make coverage
2561			Bugfix compat with other impls
2554			spec update
2371			precond chanbackup (channeldb)
2558			Bugfix
2481			refactor into input package
2493			bugfix
2531			doco
2495			stylistic improv
2513			watchtower feature
2514			watchtower improv
2500			only connect to DLP-enabled hosts
2570			bugfix
2571			bugfix
2496			stylistic improv
2563			bugfix
2385			memory perf improv
1875			improv list channels
2356			new feature (invoices subserver)
2407			improv
2515			improv after refactor
2568			make
2477			refactor
2583			bugfix
2580			trivial import fixes
2584			bugfix
2564			refactor
2550			autopilot bugfix
2521			new feature and deprecation
	2586		ignorada (neutrino)
1988			new feature subscribe to chan updates
2516			watchtower stuff
2457			new feature cancel invoices
5181			doco
	2589		ignorada (neutrino)
2601			bugfix
2591			log 
	2517		ignorada (neutrino)
2587			travis/make
2604			watchtower refactor
2605			watchttower
2606			watchtower bugfix
2572			new feature (filter)
2630			typo
2556			new feature (list unspent utxos)
2603			bugfix
	2624		ignorada (litcoin)
2615			watchtower (protocol change)
	2631		ignorada (neutrino)
2639			cleanup old code
	2637		ignorada (deps)
2549			bugfix
2212			autopilot refactor
2602			modularize queue/ticker (parcial)
2411			improv netann
2419			improv perf and dos prevention
1595			improv reliability
2651			bugfix
2083			new feature router subserver
	2679		ignorada (lint)
2364			typo
	2656		ignorada (neutrino)
2610			itest fixes
2501			perfm improvement
	2672		ignorada (doc install)
2474			improv memory 
2434			new feature (max htlc)
2707			bugfix
	2703		ignorada (doco)
	2711		ignorada (doco)
2437			new feature (max htlc)
2713			logging
2732			bugfix
2702			bugfix
2661			new feature (rpc new addr)
2690			network perf improv
2565			refactor
2739			make
2746			bugfix
	2745		ignorada (make/btcd)
2749			serious bugfix. Could cause publishing old state
2680			feature (pwd length check)
2497			deprecating feature for multiple routes
	2768		ignorada (deps)
2671			error detection
2633			autopilot improv
2766			bugfix
2022			new feature (hodl invoices)
2490			tor on whonix
2618			watchtower client
1228			new feature (estimate fee)
2736			config default workers
2691			bugfix
	2705		ignorada (travis)
2800			refactor
2779			watchtotower feature future proofing
	2804		ignorada (deps)
	2790		ignorada (readme)
2781			routerrpc fix
2765			Watchtower + breacharbiter integration
2794			autopilot refactor
2590			bugfix
2744			bugfix
2773			refactor
	2058		ignorada (connection stuff already fixed)
2819			improv (write timeout)
2806			logs
	2828		ignorada (Docs)
	2831		ignorada (docs)
2640			new feature (cltv limit in payments)
2750			log 
2824			bugfix
2842			improv
2759			constant change
2797			autopilot improv
	2843		ignorada (deps)
2832			bugfix
2777			improv
2845			log 
2846			test nits
2775			bugfix
2313			static backups. Yay!
2839			bugfix
2870			bugfix
2847			improv cache
	2868		ignorada (bitcoind)
2876			scp rpc endpoints
2880			bugfix
2740			improv bandwidth
2882			bugfix
2888			typo
2889			typo
2883			test bugfix
2890			bugfix
	2896		ignorada (lint)
2892			api improv
2893			bugfix
	2841		ignorada (docs)
2879			bugifix/reversion
2885			improv
	2830		ignorada (docs)
2902			improv/reversion
2915			bugfix
	2910		ignorada (neutrino)
2908			logging
2905			improv
	2898		ignorada (neutrino)
2925			logging
2921			bugfix
2917			bugfix (privacy)
2923			scb itest improv
2918			bugfix
2931			itest improv
2929			bugfix/itest/improv
	2928		ignorada (docker+docs)
